epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,888.248,1.75819,2.3919,1.44743,0.40298,0.4666,0.41517,0.24263,1.55427,1.90693,1.20228,0.0810872,0.000995413,0.000995413
2,1769.45,1.53239,1.97296,1.30595,0.39389,0.53266,0.46177,0.25308,1.62891,1.68639,1.24037,0.0620476,0.0019559,0.0019559
3,2658.02,1.50336,1.88582,1.29463,0.4447,0.43064,0.40199,0.20628,1.78795,1.94246,1.33716,0.0429685,0.00287679,0.00287679
4,3560.55,1.46624,1.83924,1.27234,0.42194,0.55788,0.5172,0.2989,1.44892,1.80322,1.15574,0.0238498,0.00375809,0.00375809
5,4457.91,1.45735,1.82741,1.26794,0.45475,0.60213,0.5513,0.30414,1.56641,1.52403,1.17443,0.00469152,0.00459978,0.00459978
6,5350.5,1.43027,1.76227,1.25043,0.48274,0.56355,0.53786,0.31202,1.51428,1.52058,1.17603,0.004505,0.004505,0.004505
7,6226.92,1.39198,1.70431,1.22861,0.53273,0.61129,0.58343,0.32251,1.52507,1.47223,1.16305,0.004406,0.004406,0.004406
8,7114.28,1.37013,1.65906,1.21316,0.57254,0.62426,0.59643,0.35399,1.45061,1.40151,1.11795,0.004307,0.004307,0.004307
9,7994.08,1.35158,1.62942,1.20625,0.53058,0.62889,0.5857,0.34475,1.43251,1.31946,1.11814,0.004208,0.004208,0.004208
10,8877.09,1.33734,1.62055,1.20339,0.58591,0.63712,0.63347,0.39741,1.32493,1.40215,1.08253,0.004109,0.004109,0.004109
11,9756.03,1.33519,1.59422,1.19594,0.56431,0.62082,0.61137,0.38579,1.32362,1.29001,1.07311,0.00401,0.00401,0.00401
12,10629.8,1.32748,1.55184,1.18733,0.6173,0.63632,0.64998,0.4076,1.33263,1.2708,1.07326,0.003911,0.003911,0.003911
13,11505.1,1.30574,1.51462,1.17154,0.56618,0.63422,0.63527,0.41618,1.23755,1.27392,1.04229,0.003812,0.003812,0.003812
14,12386.4,1.29991,1.50949,1.16443,0.58943,0.64945,0.65948,0.41449,1.33518,1.33598,1.08587,0.003713,0.003713,0.003713
15,13261.4,1.28044,1.46968,1.15595,0.64471,0.65492,0.68488,0.45007,1.26407,1.23375,1.04274,0.003614,0.003614,0.003614
16,14148.9,1.26913,1.46059,1.15268,0.54903,0.54177,0.53917,0.32793,1.41483,1.74085,1.15705,0.003515,0.003515,0.003515
17,15031.4,1.27916,1.46315,1.15706,0.63261,0.66639,0.68602,0.43613,1.33551,1.18964,1.07404,0.003416,0.003416,0.003416
18,15912.3,1.26183,1.4405,1.15362,0.61333,0.68598,0.69156,0.45899,1.2249,1.23504,1.03156,0.003317,0.003317,0.003317
19,16789.9,1.26427,1.43738,1.14796,0.63476,0.67985,0.70604,0.47344,1.21421,1.17865,1.03092,0.003218,0.003218,0.003218
20,17667.2,1.25807,1.42798,1.1452,0.64566,0.70957,0.72106,0.48796,1.18386,1.13303,1.03041,0.003119,0.003119,0.003119
21,18543.1,1.24897,1.41462,1.14546,0.66883,0.68972,0.72137,0.49003,1.18062,1.13176,1.01832,0.00302,0.00302,0.00302
22,19419.9,1.24357,1.40535,1.13722,0.62268,0.68721,0.69843,0.46065,1.25788,1.14956,1.03619,0.002921,0.002921,0.002921
23,20298.4,1.23572,1.39509,1.13807,0.63351,0.68796,0.71817,0.48086,1.19372,1.19534,1.02426,0.002822,0.002822,0.002822
24,21173.4,1.22956,1.38241,1.13198,0.65341,0.6879,0.71734,0.48244,1.20284,1.14548,1.02017,0.002723,0.002723,0.002723
25,22048.6,1.23005,1.38439,1.13351,0.6616,0.70005,0.73231,0.48134,1.25202,1.11888,1.04048,0.002624,0.002624,0.002624
26,22925,1.21049,1.34594,1.12335,0.70005,0.68894,0.73834,0.49526,1.21864,1.0974,1.0339,0.002525,0.002525,0.002525
27,23799.2,1.22169,1.35569,1.129,0.6624,0.73155,0.74438,0.50721,1.17531,1.07361,1.01196,0.002426,0.002426,0.002426
28,24677.7,1.21217,1.34603,1.12283,0.6628,0.70249,0.73862,0.51048,1.16339,1.12426,1.00306,0.002327,0.002327,0.002327
29,25554.9,1.19278,1.32492,1.10862,0.6646,0.70087,0.74242,0.49729,1.21812,1.08376,1.02562,0.002228,0.002228,0.002228
30,26430.4,1.19942,1.30963,1.11448,0.65409,0.722,0.749,0.50577,1.19831,1.05567,1.01082,0.002129,0.002129,0.002129
31,27307,1.187,1.29251,1.10549,0.67991,0.71226,0.75722,0.51071,1.21428,1.03837,1.0156,0.00203,0.00203,0.00203
32,28184.5,1.18379,1.29553,1.10355,0.68325,0.73914,0.77046,0.5151,1.21606,1.01546,1.01775,0.001931,0.001931,0.001931
